"","x"
"(Intercept)",2231.18788531326
"cl_US6_avg_sal_lag1Const",0.264557792403104
"cl_CFTE",-0.503327021785729
"c_pPBSC",-0.0467589887155213
"c_pOffPSC",1.72927323229113
"c_pairHist",0.0551384878404122
"cl_pairCA",1.24434582241853
"cl_Ceil",28.2042455047244
"capped_cl_Days",2.0920566917908
"Comp1or51 offer",0.0505461971969683
"Comp1or52-4 offers",-0.071562554798946
"Comp1or55+ offers",0.340677746267269
"VehS-IDC",-0.91511757075634
"VehM-IDC",-0.50629368760066
"VehFSS/GWAC",0.302679414263761
"VehBPA/BOA",-0.986643647084212
"PricingUCAFFP",-0.790835941070702
"PricingUCAIncentive",-0.688014350881781
"PricingUCAOther CB",0.140795350595107
"PricingUCAOther FP",-0.947429797561808
"PricingUCAT&M/LH/FPLOE",-0.662703968933762
"PricingUCAUCA",-0.752477081649092
"CrisisARRA",-0.907436090801736
"CrisisDis",-0.899661282878711
"CrisisOCO",-0.93242677326607
"cl_def6_HHI_lag1",0.193223999218675
"cl_def6_ratio_lag1",-0.340953972248867
"cl_def3_HHI_lag1",0.751760957885293
"cl_def3_ratio_lag1",-0.21150999783869
"c_pMarket",-0.817343472407621
"cl_OffVol",0.734069011322693
"cl_hh_index_k",-0.556574558142314
