fiscal_year,ProductServiceOrRnDarea.sum,Action_Obligation_OMB20_GDP18
2000,Products,76402443923.73512
2000,R&D,24328248229.737434
2000,Services (Non-R&D),68668627265.564354
2000,Unlabeled,37829690.434102565
2001,Products,81480165798.95303
2001,R&D,25878358241.592186
2001,Services (Non-R&D),72946604023.10509
2001,Unlabeled,12322865.659443887
2002,Products,94758074975.49901
2002,R&D,30139824464.149776
2002,Services (Non-R&D),84268410865.40434
2002,Unlabeled,103653676.3997781
2003,Products,114867505117.58438
2003,R&D,34271878172.932083
2003,Services (Non-R&D),106860152076.21477
2003,Unlabeled,91696126.11864407
2004,Products,122766380726.71802
2004,R&D,35415508886.6939
2004,Services (Non-R&D),113299338400.38437
2004,Unlabeled,8368640.08347127
2005,Products,141555970215.37228
2005,R&D,39366168158.884575
2005,Services (Non-R&D),123691321170.46616
2005,Unlabeled,4362822.535910968
2006,Products,151483951506.9969
2006,R&D,42166835679.094055
2006,Services (Non-R&D),134280125664.95709
2006,Unlabeled,122010333.30483602
2007,Products,171508726284.09338
2007,R&D,44095611288.03517
2007,Services (Non-R&D),139320121737.95856
2007,Unlabeled,19532018.452272724
2008,Products,201412801679.53366
2008,R&D,41912092013.871376
2008,Services (Non-R&D),157115196275.7369
2008,Unlabeled,390248.3503340049
2009,Products,181959024719.00452
2009,R&D,44044961588.33166
2009,Services (Non-R&D),173453301683.1196
2009,Unlabeled,1033719.2172955977
2010,Products,168355964135.75897
2010,R&D,41318862675.7434
2010,Services (Non-R&D),166732809572.22968
2010,Unlabeled,-263894.8846393681
2011,Products,176332934648.36978
2011,R&D,38185203743.75331
2011,Services (Non-R&D),160639670657.84622
2011,Unlabeled,-143494.09140004075
2012,Products,171506010514.7181
2012,R&D,33396675202.1385
2012,Services (Non-R&D),152372315246.9575
2012,Unlabeled,-6477.8001
2013,Products,144957917876.9018
2013,R&D,26086766661.413982
2013,Services (Non-R&D),129687452536.01523
2013,Unlabeled,-97921.36743912018
2014,Products,124534690487.30748
2014,R&D,23306277649.511898
2014,Services (Non-R&D),124819969769.6663
2015,Products,123478797568.84077
2015,R&D,21447962460.859047
2015,Services (Non-R&D),115697508618.30618
2015,Unlabeled,28552.39364233368
2016,Products,139967794993.62448
2016,R&D,22081544448.12156
2016,Services (Non-R&D),119020355016.59921
2016,Unlabeled,3377526.811391928
2017,Products,151601404987.77457
2017,R&D,22776942069.663303
2017,Services (Non-R&D),122638878094.93036
2017,Unlabeled,1383678.2141533904
2018,Products,166283446527.82114
2018,R&D,23559767605.143154
2018,Services (Non-R&D),135190146678.48422
2018,Unlabeled,613341.4621940163
